Designator,Mid X,Mid Y,Rotation,Layer
J5V0_5,171.73,-85.0,270.0,top
J5V0_4,171.73,-60.0,270.0,top
J5V0_3,108.27,-80.0,90.0,top
J5V0_2,108.27,-105.0,90.0,top
J5V0,171.73,-110.0,270.0,top
JANT1_6,135.5,-95.005,180.0,top
JANT1_5,144.5,-94.995,0.0,top
JANT1_4,144.5,-119.995,0.0,top
JANT1_3,144.5,-69.995,0.0,top
JANT1_2,135.5,-70.005,180.0,top
JANT1,135.5,-120.005,180.0,top
JSER1_6,162.68,-101.35,90.0,top
JSER1_5,162.68,-126.35,90.0,top
JSER1_4,162.68,-76.35,90.0,top
JSER1_3,117.32,-113.65,270.0,top
JSER1_2,117.32,-63.65,270.0,top
JSER1,117.32,-88.65,270.0,top
JSER2_6,118.59,-76.35,270.0,top
JSER2_5,161.41,-113.65,90.0,top
JSER2_4,118.59,-101.35,270.0,top
JSER2_3,118.59,-126.35,270.0,top
JSER2_2,161.41,-88.65,90.0,top
JSER2,161.41,-63.65,90.0,top
JSWD1_6,148.71,-76.35,90.0,top
JSWD1_5,148.71,-126.35,90.0,top
JSWD1_4,131.29,-113.65,270.0,top
JSWD1_3,131.29,-63.65,270.0,top
JSWD1_2,131.29,-88.65,270.0,top
JSWD1,148.71,-101.35,90.0,top
ORIG1_6,178.0,-57.5,180.0,top
ORIG1_5,102.0,-82.5,0.0,top
ORIG1_4,178.0,-82.5,180.0,top
ORIG1_3,102.0,-132.5,0.0,top
ORIG1_2,178.0,-107.5,180.0,top
ORIG1,102.0,-107.5,0.0,top
ORIG2_6,134.5,-82.5,0.0,bottom
ORIG2_5,134.5,-132.5,0.0,bottom
ORIG2_4,134.5,-107.5,0.0,bottom
ORIG2_3,145.5,-57.5,180.0,bottom
ORIG2_2,145.5,-82.5,180.0,bottom
ORIG2,145.5,-107.5,180.0,bottom
Q1_6,150.8,-68.4975,90.0,top
Q1_5,150.8,-93.4975,90.0,top
Q1_4,129.2,-96.5025,270.0,top
Q1_3,129.2,-71.5025,270.0,top
Q1_2,129.2,-121.5025,270.0,top
Q1,150.8,-118.4975,90.0,top
R1_6,159.6,-67.7975,270.0,top
R1_5,159.6,-92.7975,270.0,top
R1_4,159.6,-117.7975,270.0,top
R1_3,120.4,-97.2025,90.0,top
R1_2,120.4,-122.2025,90.0,top
R1,120.4,-72.2025,90.0,top
R2_6,120.4,-119.8025,90.0,top
R2_5,120.4,-69.8025,90.0,top
R2_4,159.6,-70.1975,270.0,top
R2_3,159.6,-120.1975,270.0,top
R2_2,159.6,-95.1975,270.0,top
R2,120.4,-94.8025,90.0,top
R3_6,114.8,-120.0,90.0,top
R3_5,165.2,-120.0,270.0,top
R3_4,114.8,-70.0,90.0,top
R3_3,165.2,-95.0,270.0,top
R3_2,114.8,-95.0,90.0,top
R3,165.2,-70.0,270.0,top
R4_6,164.2,-67.6,270.0,top
R4_5,115.8,-72.4,90.0,top
R4_4,115.8,-97.4,90.0,top
R4_3,164.2,-92.6,270.0,top
R4_2,164.2,-117.6,270.0,top
R4,115.8,-122.4,90.0,top
RF1_6,142.2,-121.6025,90.0,top
RF1_5,142.2,-71.6025,90.0,top
RF1_4,142.2,-96.6025,90.0,top
RF1_3,137.8,-68.3975,270.0,top
RF1_2,137.8,-93.3975,270.0,top
RF1,137.8,-118.3975,270.0,top
RF2_6,137.8,-95.7975,270.0,top
RF2_5,137.8,-70.7975,270.0,top
RF2_4,142.2,-94.2025,90.0,top
RF2_3,137.8,-120.7975,270.0,top
RF2_2,142.2,-119.2025,90.0,top
RF2,142.2,-69.2025,90.0,top
RF3_6,129.7,-125.6,90.0,top
RF3_5,150.3,-89.4,270.0,top
RF3_4,150.3,-64.4,270.0,top
RF3_3,129.7,-75.6,90.0,top
RF3_2,150.3,-114.4,270.0,top
RF3,129.7,-100.6,90.0,top
RF4_6,131.8,-121.5,0.0,top
RF4_5,148.2,-93.5,180.0,top
RF4_4,131.8,-96.5,0.0,top
RF4_3,131.8,-71.5,0.0,top
RF4_2,148.2,-68.5,180.0,top
RF4,148.2,-118.5,180.0,top
RG1_6,101.4,-73.7,180.0,bottom
RG1_5,178.6,-66.3,0.0,bottom
RG1_4,178.6,-91.3,0.0,bottom
RG1_3,101.4,-123.7,180.0,bottom
RG1_2,101.4,-98.7,180.0,bottom
RG1,178.6,-116.3,0.0,bottom
RG2_6,101.4,-97.6,180.0,bottom
RG2_5,101.4,-72.6,180.0,bottom
RG2_4,178.6,-117.4,0.0,bottom
RG2_3,178.6,-67.4,0.0,bottom
RG2_2,101.4,-122.6,180.0,bottom
RG2,178.6,-92.4,0.0,bottom
RG3_6,106.0,-73.7,180.0,bottom
RG3_5,174.0,-91.3,0.0,bottom
RG3_4,174.0,-116.3,0.0,bottom
RG3_3,106.0,-98.7,180.0,bottom
RG3_2,174.0,-66.3,0.0,bottom
RG3,106.0,-123.7,180.0,bottom
RG4_6,103.7,-123.7,180.0,bottom
RG4_5,103.7,-73.7,180.0,bottom
RG4_4,176.3,-66.3,0.0,bottom
RG4_3,176.3,-116.3,0.0,bottom
RG4_2,103.7,-98.7,180.0,bottom
RG4,176.3,-91.3,0.0,bottom
RM1_6,109.5,-73.7,0.0,bottom
RM1_5,170.5,-91.3,180.0,bottom
RM1_4,170.5,-116.3,180.0,bottom
RM1_3,109.5,-123.7,0.0,bottom
RM1_2,109.5,-98.7,0.0,bottom
RM1,170.5,-66.3,180.0,bottom
RM2_6,165.2,-92.6,90.0,bottom
RM2_5,114.8,-72.4,270.0,bottom
RM2_4,114.8,-122.4,270.0,bottom
RM2_3,165.2,-67.6,90.0,bottom
RM2_2,114.8,-97.4,270.0,bottom
RM2,165.2,-117.6,90.0,bottom
RM3_6,126.6,-96.0,180.0,top
RM3_5,126.6,-71.0,180.0,top
RM3_4,153.4,-119.0,0.0,top
RM3_3,126.6,-121.0,180.0,top
RM3_2,153.4,-69.0,0.0,top
RM3,153.4,-94.0,0.0,top
RM4_6,125.0,-72.8,270.0,top
RM4_5,125.0,-122.8,270.0,top
RM4_4,155.0,-67.2,90.0,top
RM4_3,155.0,-117.2,90.0,top
RM4_2,155.0,-92.2,90.0,top
RM4,125.0,-97.8,270.0,top
RR1_6,112.1,-94.4,180.0,bottom
RR1_5,112.1,-69.4,180.0,bottom
RR1_4,112.1,-119.4,180.0,bottom
RR1_3,167.9,-95.6,0.0,bottom
RR1_2,167.9,-120.6,0.0,bottom
RR1,167.9,-70.6,0.0,bottom
U1_6,173.1,-119.7,180.0,bottom
U1_5,173.1,-69.7,180.0,bottom
U1_4,106.9,-95.3,0.0,bottom
U1_3,173.1,-94.7,180.0,bottom
U1_2,106.9,-120.3,0.0,bottom
U1,106.9,-70.3,0.0,bottom
U2_6,146.0,-89.25,0.0,top
U2_5,146.0,-64.25,0.0,top
U2_4,146.0,-114.25,0.0,top
U2_3,134.0,-125.75,180.0,top
U2_2,134.0,-75.75,180.0,top
U2,134.0,-100.75,180.0,top
U3_6,118.0,-120.0,270.0,top
U3_5,118.0,-70.0,270.0,top
U3_4,162.0,-95.0,90.0,top
U3_3,162.0,-70.0,90.0,top
U3_2,162.0,-120.0,90.0,top
U3,118.0,-95.0,270.0,top
USBA1_6,102.0,-120.0,0.0,top
USBA1_5,102.0,-70.0,0.0,top
USBA1_4,178.0,-120.0,180.0,top
USBA1_3,178.0,-95.0,180.0,top
USBA1_2,102.0,-95.0,0.0,top
USBA1,178.0,-70.0,180.0,top
Y1_6,163.4,-123.3,180.0,top
Y1_5,163.4,-98.3,180.0,top
Y1_4,116.6,-91.7,0.0,top
Y1_3,163.4,-73.3,180.0,top
Y1_2,116.6,-116.7,0.0,top
Y1,116.6,-66.7,0.0,top
